"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"Brown, Seth","664913","2023","378",26.7,".322",32.7,12.2,"95.093750082"
"McCarthy, Jake","664983","2023","312",19.9,".293",32,2.3,"91.881453188"
"Maton, Nick","665155","2023","293",24.9,".285",31.8,8.4,"92.575397771"
"Peña, Jeremy","665161","2023","634",20.3,".310",32.4,4,"93.690137489"
"Tatis Jr., Fernando","665487","2023","635",22.2,".364",31.5,11,"96.024566651"
"Guerrero Jr., Vladimir","665489","2023","682",14.7,".378",32.4,11.1,"96.528144743"
"Soto, Juan","665742","2023","708",18.2,".408",28.5,13,"97.215905977"
"Taveras, Leody","665750","2023","554",21.1,".319",35.2,7.2,"94.514120854"
"Cabrera, Oswaldo","665828","2023","330",21.8,".259",27.7,3.5,"92.964070727"
"Chisholm Jr., Jazz","665862","2023","383",30.8,".307",25.3,12.2,"95.01360943"
"Ruiz, Esteury","665923","2023","497",19.9,".271",32.7,2.5,"91.300618171"
"Giménez, Andrés","665926","2023","616",18.2,".297",29.9,5.5,"92.344201908"
"Jones, Nolan","666134","2023","424",29.7,".362",34.7,15.7,"95.472742017"
"Kirilloff, Alex","666135","2023","319",25.1,".334",40.2,7.4,"93.556002892"
"Lowe, Josh","666139","2023","501",24.8,".341",36.2,11,"94.421078622"
"Moniak, Mickey","666160","2023","323",35,".308",38.9,12.6,"94.38207288"
"Sabol, Blake","666165","2023","344",34,".280",31,11.2,"94.216608032"
"Benson, Will","666181","2023","329",31.3,".321",40.5,10.3,"94.448386703"
"Bichette, Bo","666182","2023","601",19.1,".363",38.3,9.6,"95.184330552"
"Carlson, Dylan","666185","2023","255",19.2,".318",34.1,5.8,"93.357659942"
"Julien, Edouard","666397","2023","408",31.4,".345",38.8,13.1,"94.651510141"
"Morel, Christopher","666624","2023","429",31,".340",29.5,15.9,"96.326775098"
"Castro, Rodolfo","666801","2023","256",28.9,".268",27.9,7.8,"93.615443987"
"García, Adolis","666969","2023","632",27.7,".366",36,16.1,"96.163808523"
"Gurriel Jr., Lourdes","666971","2023","592",17.4,".324",35.3,8.4,"94.368560668"
"Julks, Corey","667452","2023","323",23.2,".295",36,4.9,"93.406924598"
"Rooker Jr., Brent","667670","2023","526",32.7,".343",37.3,15.6,"95.962225864"
"Arozarena, Randy","668227","2023","654",23.9,".351",31.8,12.3,"95.651873174"
"Pratto, Nick","668472","2023","345",40,".278",40.7,8.1,"93.891924767"
"Rogers, Jake","668670","2023","365",32.3,".321",40.3,12,"94.614399346"
"Bleday, JJ","668709","2023","303",23.8,".300",29.9,6.4,"93.234953169"
"Steer, Spencer","668715","2023","665",20.9,".333",35.3,6.7,"93.741896795"
"Baddoo, Akil","668731","2023","357",24.9,".301",26.5,6.2,"93.595535682"
"Reynolds, Bryan","668804","2023","640",21.6,".360",36.9,11.1,"94.957065034"
"Turang, Brice","668930","2023","448",21,".274",34.3,2.9,"92.125077484"
"Rutschman, Adley","668939","2023","687",14.7,".373",37,7.5,"93.937278476"
"Rojas, Josh","668942","2023","350",23.1,".278",35.6,3.8,"92.417791379"
"Melendez Jr., MJ","669004","2023","602",28.2,".325",34.6,11.4,"95.609327411"
"Marsh, Brandon","669016","2023","472",30.5,".322",37.7,9.1,"94.960692423"
"Langeliers, Shea","669127","2023","490",29.2,".297",30.8,13.3,"95.365956026"
"Murphy, Sean","669221","2023","438",22.4,".395",38.1,16.1,"96.100888462"
"Senzel, Nick","669222","2023","330",22.4,".296",29.3,4.8,"93.126818628"
"Edman, Tommy","669242","2023","528",15.9,".312",27.9,5,"93.865892803"
"Smith, Will","669257","2023","554",16.1,".352",37.5,6.7,"94.001340492"
"Suwinski, Jack","669261","2023","534",32.2,".346",34.2,15.7,"95.316292734"
"Espinal, Santiago","669289","2023","254",14.2,".293",33,1,"92.131124845"
"Gorman, Nolan","669357","2023","464",31.9,".354",38.8,16.5,"95.537335212"
"Burger, Jake","669394","2023","540",27.6,".359",33.4,16.7,"96.989580029"
"Allen, Nick","669397","2023","329",15.8,".250",29,1.2,"91.839086803"
"Schmitt, Casey","669477","2023","277",23.5,".282",32,6.7,"93.561277316"
"Hays, Austin","669720","2023","566",24.9,".309",31,8.9,"94.411352037"
"Call, Alex","669743","2023","439",17.8,".296",30.5,5.3,"92.725954777"
"Lopez, Nicky","670032","2023","262",15.3,".292",32.1,1.1,"91.719033135"
"Raley, Luke","670042","2023","406",31.5,".327",29.3,12.9,"95.677039912"
"Short, Zack","670097","2023","253",26.1,".297",33.3,8.8,"93.141459737"
"Wallner, Matt","670242","2023","254",31.5,".374",32.3,18.8,"96.79268782"
"Alvarez, Yordan","670541","2023","496",18.5,".435",35.7,18,"96.977658344"
"Paredes, Isaac","670623","2023","571",18.2,".315",32.4,5.9,"92.205361059"
"Walls, Taylor","670764","2023","349",26.4,".274",32.1,3.3,"91.918126429"
"Friedl Jr., TJ","670770","2023","556",16.2,".289",32,3.2,"92.196228515"
"Casas, Triston","671213","2023","502",25.1,".370",36.1,13.1,"95.686960262"
"Waters, Drew","671221","2023","337",31.8,".313",38.4,10.1,"93.391262626"
